x,phi
0,0
0.03125,0.0124222
0.0625,0.025851
0.09375,0.0403155
0.125,0.0558436
0.15625,0.0724625
0.1875,0.090198
0.21875,0.109075
0.25,0.129117
0.28125,0.150347
0.3125,0.172786
0.34375,0.196455
0.375,0.221372
0.40625,0.247556
0.4375,0.275023
0.46875,0.303788
0.5,0.333865
0.53125,0.365268
0.5625,0.398007
0.59375,0.432093
0.625,0.467535
0.65625,0.50434
0.6875,0.542515
0.71875,0.582065
0.75,0.622992
0.78125,0.6653
0.8125,0.708988
0.84375,0.754057
0.875,0.800505
0.90625,0.848329
0.9375,0.897523
0.96875,0.948083
1,1
